PUZZLE,CATEGORY,DATE USED,WHEN USED
 WE FEW WE HAPPY FEW WE BAND OF BROTHERS, Quotation, 11/13/2014 (#6089) ,R2 
BURYING MY TOES IN THE SAND , What Are You Doing?,11/13/2014 (#6089)  , R3*
 CONSTELLATIONS,Things ,11/13/2014 (#6089)  ,T3 
GIRLS WEARING PEARLS , Rhyme Time,11/13/2014 (#6089)  ,R4 
 BASHFUL KID, Person,11/13/2014 (#6089)  ,BR 
 SPARRING PARTNER,Person ,11/14/2014 (#6090) ,T1 
 DON'T BE SHY,Phrase , 11/14/2014 (#6090),T2 
 MONOPOLY MONEY MANAGER, Before & After, 11/14/2014 (#6090),R1 
 WOODY AND BUZZ LIGHTYEAR, Characters, 11/14/2014 (#6090),R2 
 THE CITY THAT DOESN'T SLEEP,Place , 11/14/2014 (#6090), R3*
 LACROSSE STICK,Fun & Games , 11/14/2014 (#6090),T3 
 GETTING MY DUCKS IN A ROW, What Are You Doing?, 11/14/2014 (#6090),R4 
 GO FOR A JOG,Phrase ,11/14/2014 (#6090) ,BR 
MY LUCKY NUMBER ,Thing ,11/17/2014 (#6091) , T1
 BARRIER ISLAND,Place , 11/17/2014 (#6091),T2 
 AMERICA'S NEXT TOP MODEL AIRPLANE,Before & After , 11/17/2014 (#6091), R1
SCRUMPTIOUS SEAFOOD PLATTER ,Food & Drink , 11/17/2014 (#6091),R2 
CRUISING THE CARIBBEAN IN STYLE , What Are You Doing?, 11/17/2014 (#6091),R3* 
TYING THE KNOT , Event, 11/17/2014 (#6091),T3 
 DINNER AND DANCING,Fun & Games , 11/17/2014 (#6091),R4 
 LIGHTNING IN A BOTTLE, Phrase, 11/17/2014 (#6091),R5 
 MAJOR UPGRADE, Thing, 11/17/2014 (#6091),BR
 PLAYING TO WIN,What Are You Doing? , 11/18/2014 (#6092),T1 
 TREASURE HUNTERS,People , 11/18/2014 (#6092),T2 
 MAY THE ODDS BE EVER IN YOUR FAVOR, Movie Quote, 11/18/2014 (#6092),R1 
 CABBAGE CARROTS & CAULIFLOWER, Same Letter, 11/18/2014 (#6092), R2
 INFOMERCIAL, Thing, 11/18/2014 (#6092), PP
TERRACES OVERLOOKING THE JUNGLE , Places,11/18/2014 (#6092) , R3*
 PAUL MCCARTNEY,Proper Name ,11/18/2014 (#6092) , T3
 THE SOUND OF SILENCE, Song Title,11/18/2014 (#6092) ,R4 
 WORLDWIDE BEST SELLER, Thing, 11/18/2014 (#6092),R5 
 FROZEN WAFFLES,Food & Drink , 11/18/2014 (#6092),BR 
 PROGRESSIVE SLOT MACHINE,Fun & Games , 11/19/2014 (#6093),T1 
 I WOULD IF I COULD,Rhyme Time , 11/19/2014 (#6093),T2 
 MAKING SOMETHING OUT OF NOTHING,What Are You Doing? ,11/19/2014 (#6093) ,R1 
QUIET ON THE SET OF ENCYCLOPEDIAS ,Before & After , 11/19/2014 (#6093),R2 
 FRIENDLY HELPFUL AND COURTEOUS,Phrase , 11/19/2014 (#6093),R3* 
 CASTING DIRECTOR, Show Biz, 11/19/2014 (#6093),T3 
ENGLISH BREAKFAST TEA ,Food & Drink , 11/19/2014 (#6093),R4 
POSTCARD COLLECTION , Around the House, 11/19/2014 (#6093),R5 
EXCITING SUBJECT ,Thing ,11/19/2014 (#6093) ,BR 
 WEDDING CHAPEL, Place,11/20/2014 (#6094) ,T1 
ROASTED ALMONDS , Food & Drink, 11/20/2014 (#6094) ,T2 
 SEEING THE SIGHTS ON THE STRIP, Fun & Games, 11/20/2014 (#6094) ,R1 
 PUMPKIN AND IRON-ON PATCH,Same Name , 11/20/2014 (#6094) ,R2 
 THE MOST BEAUTIFUL SUNSET EVER, Thing, 11/20/2014 (#6094) ,R3* 
PUBLIC ACCOUNTANT ,Occupation ,11/20/2014 (#6094)  ,T3 
DRAMATIC CONCLUSION , Event,11/20/2014 (#6094)  ,R4 
 OFFICE PRODUCTS,Things ,11/20/2014 (#6094)  ,BR 
LET IT RIDE! ,Phrase , 11/21/2014 (#6095),T1
UNBRIDLED ENTHUSIASM ,Thing , 11/21/2014 (#6095),T2
 GETTING MY FOOT IN THE DOOR,What Are You Doing? , 11/21/2014 (#6095),R1 
 LOOK ME IN THE EYE SHADOW, Before & After, 11/21/2014 (#6095),R2
 PROTECTED MARINE SANCTUARY, Place,11/21/2014 (#6095) ,R3* 
 MODERN FAMILY,TV Title ,11/21/2014 (#6095) ,T3 
 GOOD NIGHT SWEET PRINCE,Quotation ,11/21/2014 (#6095) ,R4 
 YOGA POSE,Thing , 11/21/2014 (#6095),BR 
 COLUMBUS OHIO,On the Map , 11/24/2014 (#6096),T1 
 VOLUNTEER FIREFIGHTER,Person , 11/24/2014 (#6096),T2 
 CANDIED YAMS WITH SLICED APPLES,Food & Drink , 11/24/2014 (#6096),R1 
 UNDER CONSTRUCTION PAPER, Before & After, 11/24/2014 (#6096),R2 
 IMAGINE THE POSSIBILITIES,Phrase , 11/24/2014 (#6096), R3*
 CASSEROLE DISH,In the Kitchen ,11/24/2014 (#6096) ,T3 
 TRIANGLES AND RECTANGLES,Things ,11/24/2014 (#6096) , R4
 THE WHOLE BALL OF WAX,Phrase ,11/24/2014 (#6096) ,BR 
 INDEPENDENCE HALL,Landmark , 11/25/2014 (#6097),T1 
 NEWSPAPER REPORTER,Occupation , 11/25/2014 (#6097), T2
 BATMAN ROBIN AND BATGIRL, Characters, 11/25/2014 (#6097),R1 
 LOVE IS IN THE AIR MATTRESS, Before & After, 11/25/2014 (#6097), R2
 BAYWATCH,Title , 11/25/2014 (#6097),PP 
 LIFE IS FULL OF SURPRISES, Phrase, 11/25/2014 (#6097), R3*
 A VASE OF FLOWERS, Around the House, 11/25/2014 (#6097), T3
 TOPIC OF CONVERSATION, Thing, 11/25/2014 (#6097),R4 
 BIG BEAR HUG,Thing , 11/25/2014 (#6097),BR 
 LAKE MICHIGAN, On the Map, 11/26/2014 (#6098),T1 
 PRICELESS PAINTING,Thing ,  11/26/2014 (#6098),T2 
 BAKING THE PERFECT PUMPKIN PIE,What Are You Doing? ,  11/26/2014 (#6098),R1 
SILICON VALLEY GIRL ,Before & After ,  11/26/2014 (#6098),R2 
 CHECK YOUR DEPARTURE TIME, Phrase,  11/26/2014 (#6098),R3* 
 THE ROAD RUNNER, Character,  11/26/2014 (#6098),T3 
 SELF-CLEANING OVEN,In the Kitchen ,  11/26/2014 (#6098),R4 
 WATCH OUT BELOW,Phrase ,  11/26/2014 (#6098), BR
 TALKING TURKEY,What Are You Doing? , 11/27/2014 (#6099),T1 
 ALBANY NEW YORK, On the Map, 11/27/2014 (#6099),T2 
 TOOTSIE ROLL OUT THE RED CARPET, Before & After, 11/27/2014 (#6099),R1 
 BUTTERNUT SQUASH STUFFING,Food & Drink , 11/27/2014 (#6099),R2
 I KNOW WHERE I'M GOING FOR SUMMER BREAK, Phrase, 11/27/2014 (#6099), R3*
 SHOW AND TELL, Fun & Games,11/27/2014 (#6099) ,T3
 ONLINE MOVIE REVIEW, Show Biz,11/27/2014 (#6099) ,R4
 A BABE IN THE WOODS,Phrase , 11/27/2014 (#6099) ,BR 
 THE GETTYSBURG ADDRESS, Thing,11/28/2014 (#6100) ,T1
 MUMBO JUMBO, Rhyme Time, 11/28/2014 (#6100) ,T2
 THE SOUTH RIM OF THE GRAND CANYON, On the Map, 11/28/2014 (#6100) ,R1
CRACKER JACK NICHOLSON ,Before & After , 11/28/2014 (#6100) ,R2 
 MEMORABLE MAGIC MOMENTS,Same Letter , 11/28/2014 (#6100) ,R3* 
 THE PEOPLE'S COURT, TV Title, 11/28/2014 (#6100) ,T3 
QUALITY NOT QUANTITY , Phrase, 11/28/2014 (#6100) ,R4 
 NARROW PATHWAY,Place , 11/28/2014 (#6100) ,BR 
 WARM AND FRIENDLY, Phrase,12/1/2014 (#6101) ,T1 
FOOD & WINE FESTIVAL ,Event , 12/1/2014 (#6101) ,T2
 THE BEST DEALS ONLINE, Things, 12/1/2014 (#6101) ,R1 
 NEVER SAY NEVER-NEVER LAND,Before & After , 12/1/2014 (#6101) ,R2
 GAZING OUT AT THE ENDLESS OCEAN,What Are You Doing? , 12/1/2014 (#6101) , R3*
 A GENTLE GIANT,Person , 12/1/2014 (#6101) ,T3
 BAKED CHERRY TURNOVER,Food & Drink , 12/1/2014 (#6101) ,R4 
BUSY HARBOR ,Place ,12/1/2014 (#6101)  ,BR 
 GUEST BEDROOM, Place,12/2/2014 (#6102) ,T1 
STAGE MANAGER ,Show Biz , 12/2/2014 (#6102) ,T2 
 BANANA WALNUT PANCAKES,Food & Drink , 12/2/2014 (#6102) ,R1 
 PRIVATE EYE OF THE STORM,Before & After , 12/2/2014 (#6102) ,R2 
 A WORK OF GENIUS, Phrase, 12/2/2014 (#6102) ,PP 
 THE BRIGHT LIGHTS OF TIMES SQUARE, Things,12/2/2014 (#6102)  , R3*
 MINIATURE POODLE, Living Thing, 12/2/2014 (#6102) ,T3 
 DOWN TO A SCIENCE, Phrase, 12/2/2014 (#6102) ,R4 
 HANDPICKED FRUIT, Food & Drink, 12/2/2014 (#6102) ,BR 
 CHARM AND CHARACTER,Things , 12/3/2014 (#6103),T1 
 FULL-LENGTH MIRROR, Around the House,12/3/2014 (#6103) ,T2 
 PROFESSIONAL POKER PLAYER, Same Letter, 12/3/2014 (#6103),R1 
 WILD MUSHROOM AND GOAT CHEESE OMELET,Food & Drink , 12/3/2014 (#6103),R2 
 SEA URCHINS SPONGES AND REEFS, Before & After, 12/3/2014 (#6103),R3* 
 EAGER TO PLEASE, Phrase, 12/3/2014 (#6103),T3 
 DISTINGUISHED GENTLEMAN, Person, 12/3/2014 (#6103),R4 
 HEAVY PACKAGE, Thing, 12/3/2014 (#6103),BR 
 GRACIOUS HOST, Person, 12/4/2014 (#6104),T1 
 SILVER DOLLARS,Things , 12/4/2014 (#6104),T2 
 COFFEE AND CRANBERRY SCONES,Food & Drink , 12/4/2014 (#6104),R1 
 I SLEPT LIKE A BABY HIPPO,Before & After , 12/4/2014 (#6104),R2
 HONOLULU INTERNATIONAL AIRPORT, Place, 12/4/2014 (#6104),R3* 
 TOM SELLECK, Proper Name, 12/4/2014 (#6104),T3
 FLOWER ARRANGEMENT, Around the House, 12/4/2014 (#6104),R4 
FUZZY EARMUFFS ,Things ,12/4/2014 (#6104) ,BR 
 THE PERSONAL TOUCH, Thing,12/5/2014 (#6105) , T1
 GRAND ENTRANCE, Event, 12/5/2014 (#6105),T2 
 CRITICALLY ACCLAIMED TELEVISION SERIES, Show Biz, 12/5/2014 (#6105),R1 
 SODA FOUNTAIN OF YOUTH,Before & After ,12/5/2014 (#6105) ,R2 
 SURFBOARDS SAILBOATS & KAYAKS, Fun & Games,12/5/2014 (#6105) , R3*
ACCESSORIZING , What Are You Doing?,12/5/2014 (#6105) ,T3
 FRIED APPLE FRITTERS,Food & Drink ,12/5/2014 (#6105) ,R4 
 FIELD HOCKEY GOALIE,Person ,12/5/2014 (#6105) ,BR 
 ONE BIG HAPPY FAMILY,People ,12/8/2014 (#6106) ,T1 
 WINTER WONDERLAND,Place , 12/8/2014 (#6106) ,T2 
 RUNNING CIRCLES AROUND THE COMPETITION,What Are You Doing? , 12/8/2014 (#6106) ,R1 
 CHRISTMAS CANDY CANES, Same Letter, 12/8/2014 (#6106) , R2
 EVERYTHING YOU COULD POSSIBLY WANT, Phrase, 12/8/2014 (#6106) ,R3* 
 TELEVISION COMEDY,Show Biz , 12/8/2014 (#6106) ,T3 
RED BRICK CHIMNEY ,Thing, 12/8/2014 (#6106) ,R4 
 GUITAR CHORDS, Things, 12/8/2014 (#6106) ,BR 
BOYS AND GIRLS , People, 12/9/2014 (#6107),T1 
 ICE SKATING RINK, Place, 12/9/2014 (#6107), T2
 THE WEATHER OUTSIDE IS FRIGHTFUL, Song Lyrics, 12/9/2014 (#6107), R1
 SEE SPOT RUN FOR GOVERNOR,Before & After , 12/9/2014 (#6107), R2
 CHECKING MY VACATION DAYS,What Are You Doing? , 12/9/2014 (#6107), R3*
ANNUAL REUNION ,Event , 12/9/2014 (#6107), T3
 GIANT SNOWFLAKES,Things ,12/9/2014 (#6107) ,R4 
 AVERAGE PRICE, Thing,12/9/2014 (#6107) ,BR 
 SISTER ACT,Show Biz , 12/10/2014 (#6108),T1 
 WOOD-BURNING FIREPLACE, Around the House, 12/10/2014 (#6108), T2
 BENCH PRESS THE SNOOZE BUTTON, Before & After, 12/10/2014 (#6108), R1
 YOU'RE A MEAN ONE MR. GRINCH, Song Title, 12/10/2014 (#6108), R2
 SUPERB SERVICE & SETTING, Same Letter, 12/10/2014 (#6108), R3*
PLAYING TWISTER ,Fun & Games ,12/10/2014 (#6108) ,T3 
 NEVER A DULL MOMENT,Phrase ,12/10/2014 (#6108) ,R4 
 QUILTED BLANKET, Thing,12/10/2014 (#6108) , BR
 HANGING MISTLETOE,What Are You Doing? , 12/11/2014 (#6109),T1 
 AGE BEFORE BEAUTY,Phrase , 12/11/2014 (#6109), T2
 PLUMBER AND PIPE FITTER, Occupations,12/11/2014 (#6109) , R1
 THE NORTH AND TOTEM POLE, Same Name, 12/11/2014 (#6109), R2
 A PRIME STRETCH OF FABULOUS BEACH, Place, 12/11/2014 (#6109), R3*
 FIRSTBORN CHILD, Person, 12/11/2014 (#6109), T3
 OLD-FASHIONED FRUITCAKE, Food & Drink, 12/11/2014 (#6109), R4
 HISTORIC VOYAGE,Event ,12/11/2014 (#6109) , BR
 PLENTY TO GO AROUND,Phrase , 12/12/2014 (#6110),T1 
 MOTHER AND DAUGHTER,People , 12/12/2014 (#6110),T2 
 BETTER NOT POUT I'M TELLING YOU WHY,Song Lyrics , 12/12/2014 (#6110),R1 
 MR. POTATO HEAD OF THE HOUSEHOLD, Before & After, 12/12/2014 (#6110), R2
 BREATHTAKING BALCONY VIEWS, Things, 12/12/2014 (#6110),R3* 
 APPLES AND ORANGES,Food & Drink , 12/12/2014 (#6110),T3 
 WINNING A TALENT CONTEST,Event , 12/12/2014 (#6110),R4 
 EXIT POLL, Thing, 12/12/2014 (#6110),BR 
 JINGLE BELLS JINGLE BELLS, Song Lyrics,12/15/2014 (#6111) , T1
 BOOMING BUSINESS, Thing, 12/15/2014 (#6111) ,T2 
 THERE'S SOMETHING FOR EVERYONE,Phrase , 12/15/2014 (#6111) ,R1 
 THE BIG APPLE CIDER,Before & After , 12/15/2014 (#6111) ,R2 
 GETTING TO KNOW THE LOCAL CUISINE,What Are You Doing? , 12/15/2014 (#6111) ,R3* 
 CURTAIN CALL, Show Biz, 12/15/2014 (#6111) ,T3 
 DOING SOMERSAULTS,Fun & Games , 12/15/2014 (#6111) ,R4 
 LATE-NIGHT INFOMERCIAL, Thing,12/15/2014 (#6111)  ,BR 
 CHESTNUT COOKIES,Food & Drink , 12/16/2014 (#6112),T1 
 FRONT-PAGE NEWS, Thing, 12/16/2014 (#6112),T2 
 WAKING UP AT THE CRACK OF DAWN,What Are You Doing? , 12/16/2014 (#6112), R1
 WRAPPING PAPER TRAIL, Before & After, 12/16/2014 (#6112), R2
 THE IDEAL TROPICAL DESTINATION, Place, 12/16/2014 (#6112), R3*
 PLAYING THE TITLE ROLE,Show Biz , 12/16/2014 (#6112),T3 
 LADIES AND GENTLEMEN,People ,12/16/2014 (#6112) , R4
 BAY WINDOWS, Things, 12/16/2014 (#6112),BR 
 THE ELF ON THE SHELF,Rhyme Time ,12/17/2014 (#6113) ,T1 
 SCRABBLE TOURNAMENT, Fun & Games, 12/17/2014 (#6113),T2 
 A BUTTON NOSE AND TWO EYES MADE OUT OF COAL, Song Lyrics, 12/17/2014 (#6113),R1 
 PERFECT PLUM PUDDING,Same Letter , 12/17/2014 (#6113), R2
 LISTENING TO THE SOUND OF THE OCEAN,What Are You Doing? , 12/17/2014 (#6113),R3* 
 KITCHEN PANTRY,Around the House , 12/17/2014 (#6113), T3
 REACHING ONE OF MY GOALS, Event, 12/17/2014 (#6113), R4
 ABOVE THE CLOUDS,Phrase , 12/17/2014 (#6113), BR
 RUN RUN RUDOLPH,Song Lyrics , 12/18/2014 (#6114),T1 
 SOFTWARE DEVELOPER, Occupation, 12/18/2014 (#6114),T2 
 SWEET PINEAPPLE-GLAZED HAM,Food & Drink , 12/18/2014 (#6114),R1 
 HE HAD A BROAD FACE AND A LITTLE ROUND BELLY, Quotation, 12/18/2014 (#6114),R2 
 DISCOVERING THE WONDERS OF NATURE,What Are You Doing? , 12/18/2014 (#6114), R3*
CROSSING THE FINISH LINE ,Event ,12/18/2014 (#6114) , T3
 IT ALL COMES DOWN TO THIS,Phrase ,12/18/2014 (#6114) , R4
AUGUSTA GEORGIA , On the Map,12/18/2014 (#6114) , BR
THE POLAR EXPRESS ,Title , 12/19/2014 (#6115),T1 
KIDS OF ALL AGES,People , 12/19/2014 (#6115),T2 
 CUSTOMER SERVICE MANAGER,Occupation , 12/19/2014 (#6115),R1 
 NEW YORK STOCK EXCHANGE OF GIFTS, Before & After, 12/19/2014 (#6115), R2
 BANANA COCONUTS AND CHOCOLATE,Food & Drink , 12/19/2014 (#6115), R3*
PLEASED AS PUNCH ,Phrase ,12/19/2014 (#6115) ,T3 
BUCKLING MY SKI BOOTS , What Are You Doing?,12/19/2014 (#6115) ,R4 
 OPENING CREDITS, Show Biz,12/19/2014 (#6115) , R5
 MONTHLY BUDGET, Thing,12/19/2014 (#6115) , BR
 KINDNESS & GENEROSITY,Things ,12/22/2014 (#6116) ,T1 
FRIED GREEN TOMATOES , Title, 12/22/2014 (#6116),T2 
 FRESHLY BREWED COFFEE TABLE, Before & After, 12/22/2014 (#6116),R1 
 ORIGINAL TENNESSEE BARBECUE BEEF,Food & Drink , 12/22/2014 (#6116),R2 
 PUT ON YOUR SWIMSUIT AND HIT THE BEACH,Phrase , 12/22/2014 (#6116),R3* 
RECEPTIONIST ,Occupation , 12/22/2014 (#6116),T3 
BARNYARD ANIMALS , Living Things, 12/22/2014 (#6116),R4 
 GAME HIGHLIGHTS, Things, 12/22/2014 (#6116), BR
 MAKE YOURSELF AT HOME,Phrase , 12/23/2014 (#6117),T1 
WILLIE NELSON ,Proper Name , 12/23/2014 (#6117),T2 
 SILKY SMOOTH SKIN, Same Letter, 12/23/2014 (#6117),R1 
 MISSISSIPPI QUEEN IF YOU KNOW WHAT I MEAN, Song Lyrics, 12/23/2014 (#6117), R2
 SAXOPHONIST,Person , 12/23/2014 (#6117),PP 
 SEARCHING THE ISLAND FOR WATERFALLS,Fun & Games , 12/23/2014 (#6117),R3* 
 FAMILY RESTAURANT, Place, 12/23/2014 (#6117),T3 
 A CONSERVATIVE ESTIMATE,Thing , 12/23/2014 (#6117),R4 
 HUMBLE HERO,Person , 12/23/2014 (#6117),BR 
CHARLESTON SOUTH CAROLINA ,On the Map ,12/24/2014 (#6118) ,T1 
 STRIKING GOLD,Event , 12/24/2014 (#6118), T2
 VERY IMPORTANT PERSON, Phrase, 12/24/2014 (#6118), R1
 THE PEN IS MIGHTIER THAN THE SWORD SWALLOWER,Before & After , 12/24/2014 (#6118), R2
 GENTLE SOOTHING TRADE WINDS, Things, 12/24/2014 (#6118), R3*
 RED BEANS AND RICE,Food & Drink , 12/24/2014 (#6118), T3
 PURSUING MY DREAM,What Are You Doing? , 12/24/2014 (#6118),R4 
 WEALTH OF IDEAS, Phrase, 12/24/2014 (#6118),BR 
BLUEGRASS MUSIC ,Show Biz ,12/25/2014 (#6119) ,T1 
 BURT REYNOLDS,Proper Name , 12/25/2014 (#6119) ,T2 
 LOUISIANA CHICKEN AND SAUSAGE GUMBO, Food & Drink, 12/25/2014 (#6119) ,R1 
 SLEEPING BEAUTY IS IN THE EYE OF THE BEHOLDER,Before & After , 12/25/2014 (#6119) ,R2 
 OUT OF WHACK, Phrase, 12/25/2014 (#6119) ,PP 
WAVES REACHING EPIC HEIGHTS ,Things ,12/25/2014 (#6119)  ,R3* 
 DOLLHOUSE FURNITURE,Fun & Games ,12/25/2014 (#6119)  ,T3 
 THE FUTURE LOOKS BRIGHT,Phrase , 12/25/2014 (#6119) ,R4 
 BACK OFFICE,Place ,12/25/2014 (#6119)  ,BR 
 PEACHES AND CREAM, Food & Drink,12/26/2014 (#6120) , T1
 THE LONE RANGER, Character, 12/26/2014 (#6120),T2 
 FASHION TRENDSETTER, Person, 12/26/2014 (#6120),R1 
 HANDED DOWN FROM GENERATION TO GENERATION,Phrase , 12/26/2014 (#6120), R2
 MANY SPECIES OF EXOTIC BIRDS, Living Things, 12/26/2014 (#6120), R3*
 RIVERBOAT CAPTAIN,Occupation , 12/26/2014 (#6120), T3
 EVERGLADES NATIONAL PARK,Landmark , 12/26/2014 (#6120), R4
 WOODEN GAVEL,Thing , 12/26/2014 (#6120),BR 
 WALDEN POND, Landmark, 12/29/2014 (#6121),T1 
 RED-TAILED HAWK,Living Thing , 12/29/2014 (#6121), T2
 I FEEL GOOD I KNEW THAT I WOULD, Song Lyrics, 12/29/2014 (#6121),R1 
 HOT DOG TRAINER, Before & After, 12/29/2014 (#6121),R2 
 MAJESTIC MAGNIFICENT MAUI,Same Letter , 12/29/2014 (#6121), R3*
 OBSERVATION DECK, Place, 12/29/2014 (#6121), T3
 KNOWLEDGE IS POWER, Quotation, 12/29/2014 (#6121), R4
 THINGS ARE LOOKING UP, Phrase, 12/29/2014 (#6121), R5
 BROADWAY, Show Biz, 12/29/2014 (#6121), BR
KNOXVILLE TENNESSEE ,On the Map , 12/30/2014 (#6122),T1 
 ADVERTISING EXECUTIVE,Occupation , 12/30/2014 (#6122),T2 
 FIFTEEN MINUTES OF FAME, Phrase, 12/30/2014 (#6122),R1 
 NEW KID ON THE BLOCK OF ICE,Before & After , 12/30/2014 (#6122),R2 
 EAT AND RUN,Phrase , 12/30/2014 (#6122), PP
 TAKING THE GARDEN PATH TO THE BEACH, What Are You Doing?, 12/30/2014 (#6122),R3* 
 SWEET POTATO FRIES,Food & Drink , 12/30/2014 (#6122),T3 
 BOUNCING ON A TRAMPOLINE, Fun & Games, 12/30/2014 (#6122),R4 
 FADED BLUE JEANS, Things,12/30/2014 (#6122) ,BR 
 EASY AS ONE TWO THREE, Phrase, 12/31/2014 (#6123),T1 
 FATHER TIME, Character, 12/31/2014 (#6123),T2 
 SWEET GOLDEN CORN BREAD, Food & Drink, 12/31/2014 (#6123),R1 
 HOT DOG STAND BY YOUR MAN,Before & After , 12/31/2014 (#6123), R2
 SUMMER BREEZES AND LOVELY SHORES,Things , 12/31/2014 (#6123),R3* 
 TRENTON NEW JERSEY, On the Map, 12/31/2014 (#6123),T3 
 COUNTING DOWN THE SECONDS,What Are You Doing? , 12/31/2014 (#6123), R4
 BUZZWORD,Thing , 12/31/2014 (#6123), BR
BABY NEW YEAR ,Character , 1/1/2015 (#6124),T1 
 TAMPA BAY FLORIDA,On the Map , 1/1/2015 (#6124), T2
PROSPERITY AND GOOD HEALTH , Things, 1/1/2015 (#6124), R1
 SOUTHERN-STYLE COLLARD GREENS,Food & Drink , 1/1/2015 (#6124), R2
 THE RICH BLUE CARIBBEAN SEA, Place, 1/1/2015 (#6124),R3* 
SAVOR THE FLAVOR ,Rhyme Time , 1/1/2015 (#6124),T3 
 ILLUSTRATED WALL CALENDAR, Around the House, 1/1/2015 (#6124), R4
 ROUSING APPLAUSE, Thing, 1/1/2015 (#6124), BR
 OLYMPIA WASHINGTON,On the Map , 1/2/2015 (#6125),T1 
 BLOWING BUBBLES,Fun & Games , 1/2/2015 (#6125),T2 
 HONESTY IS THE BEST POLICY,Phrase , 1/2/2015 (#6125),R1 
 BREAKFAST NOOK AND CRANNY,Before & After , 1/2/2015 (#6125),R2 
 SHOWING OFF MY FAVORITE HAWAIIAN SHIRT, What Are You Doing?, 1/2/2015 (#6125),R3* 
 PRESSURE COOKER,In the Kitchen , 1/2/2015 (#6125), T3
 HARD WORK AND DEDICATION,Things , 1/2/2015 (#6125), R4
 THE INVISIBLE MAN,Character , 1/2/2015 (#6125),R5 
 WEDDING BOUQUET, Thing, 1/2/2015 (#6125), BR
GREEN TRAFFIC LIGHT ,Thing , 1/5/2015 (#6126),T1 
 DUSTIN HOFFMAN,Proper Name , 1/5/2015 (#6126),T2 
 SATURDAY NIGHT LIVE, TV Title, 1/5/2015 (#6126),R1 
 HE WHO HESITATES IS LOST IN SPACE,Before & After , 1/5/2015 (#6126), R2
 NESTLED ON A PRIVATE PENINSULA, Phrase, 1/5/2015 (#6126), R3*
 CATTLE RANCHER, Occupation, 1/5/2015 (#6126),T3 
 RASPBERRY PRESERVES,Food & Drink ,1/5/2015 (#6126) ,R4
 EXCHANGE OF VOWS, Event,1/5/2015 (#6126) , BR
 GULLIVER'S TRAVELS, Title,1/6/2015 (#6127) , T1
 BABY GRAND PIANO, Thing,1/6/2015 (#6127) ,T2 
 LABOR OF LOVE LETTERS,Before & After , 1/6/2015 (#6127),R1 
 MARYLAND SOFT-SHELL CRABS,Food & Drink , 1/6/2015 (#6127),R2 
 HERE TODAY GONE TO MAUI,Phrase , 1/6/2015 (#6127),R3* 
 BATTING A THOUSAND, What Are You Doing?, 1/6/2015 (#6127),T3 
 WINKING AND BLINKING,Rhyme Time , 1/6/2015 (#6127), R4
ROCK AROUND THE CLOCK ,Song Lyrics , 1/6/2015 (#6127),R5 
 RAISE YOUR VOICE,Phrase , 1/6/2015 (#6127),BR 
 WE'RE UP AND RUNNING,Phrase ,1/7/2015 (#6128) , T1
 SEASHELL NECKLACE,Thing , 1/7/2015 (#6128) , T2
 SACKING THE QUARTERBACK,Fun & Games , 1/7/2015 (#6128) ,R1 
 KERRY WASHINGTON MONUMENT,Before & After , 1/7/2015 (#6128) ,R2 
 FEELING THE WARMTH OF THE SUN, What Are You Doing?, 1/7/2015 (#6128) ,R3* 
 SPLIT PEA SOUP,Food & Drink , 1/7/2015 (#6128) ,T3 
 HIGH SCHOOL PRINCIPAL,Occupation , 1/7/2015 (#6128) ,R4 
 FROG POND, Place, 1/7/2015 (#6128) ,BR 
 IT'S ALMOST FRIDAY,Phrase , 1/8/2015 (#6129),T1 
 BUSINESS PARTNERS,People , 1/8/2015 (#6129) ,T2 
 RECEIVING A WEDDING ANNOUNCEMENT,Event , 1/8/2015 (#6129) ,R1 
PROFESSIONAL BOXER SHORTS,Before & After , 1/8/2015 (#6129) , R2
 CLASSIC SEASIDE BUNGALOW,Place , 1/8/2015 (#6129) ,R3* 
 MYSTERY NOVEL,Thing , 1/8/2015 (#6129) ,T3 
ORDERING A PIZZA ,What Are You Doing? , 1/8/2015 (#6129) ,R4 
 BALD HEAD, Thing, 1/8/2015 (#6129) , BR
 BOOKING A TRIP,What Are You Doing? , 1/9/2015 (#6130),T1 
SPEARMINT TEA ,Food & Drink , 1/9/2015 (#6130),T2 
 MY ALL-TIME FAVORITE SONG,Thing , 1/9/2015 (#6130),R1 
I'M EASY LIKE SUNDAY MORNING,Song Lyrics , 1/9/2015 (#6130),R2 
 DOLPHINS WHALES AND TURTLES,Living Things , 1/9/2015 (#6130),R3* 
KEEP THEM COMING , Phrase, 1/9/2015 (#6130),T3 
THE QUEEN OF HEARTS ,Character ,1/9/2015 (#6130) ,R4 
FINANCIAL MANAGER ,Occupation ,1/9/2015 (#6130) ,R5 
 MOUND OF PAPERWORK,Thing ,1/9/2015 (#6130) ,BR 
 A LOVE OF TRAVEL,Phrase ,1/12/2015 (#6131) ,T1 
 CENTER STAGE,Show Biz , 1/12/2015 (#6131) ,T2 
 CASHEWS ALMONDS & PEANUTS,Food & Drink , 1/12/2015 (#6131) ,R1 
 PARTLY SUNNY DISPOSITION,Before & After ,1/12/2015 (#6131)  ,R2 
 PRACTICING SPANISH PHRASES, What Are You Doing?,1/12/2015 (#6131)  ,R3*
 A KISS ON THE CHEEK,Thing ,1/12/2015 (#6131)  ,T3 
